Name,Description,Address,Image,Motto,Longitude,Latitude
Backstage,Backstage was a strip club with live music. It became a bookstore.,151 Powell,P0017_06.jpg,Smart people meet: continuous entertainment: all drinks sensibly priced,-122.408163,37.7861544
Bellevue Hotel: Hunt Room,,501 Geary Street,P0025_01.jpg,Bellevue the Hotel of Distinction,-122.4119065,37.7866571
Blue & Gold,"Ralph Major Carver, a trans woman who went by ""Mae West"", was a well-known Tenderloin character and frequented the Blue and Gold cocktail bar. Carter was found murdered in her apartment at 411 Eddy Street on January 4th 1984.",136 Turk ,,You are a Stranger here but Once,-122.4115166,37.7833593
Blue Lamp,"Blue Lamp Lounge was a piano bar and a popular spot for blues, rock, and americana music until it closed in 2006, allegedly because the owners did not want to make the necessary earthquake code upgrades. Fans of the lounge fondly describe the dried puke on the floor, the nearly unusable bathrooms, and a pool table so far off from being level that it was ridiculous. Became a club called ""Swig"" although there's still a Sacramento branch",561 Geary ,P002_02.jpg,In the Heart of the Theater District.,-122.4124375,37.7866427
Bobby's Club,"Early gay bar, became the Trapp c. 1960s.",72 Eddy ,P0027_05.jpg,Three veterans welcome you at Bobby's Club,-122.4089408,37.7844172
Bone's Corner,"“Bones,” a San Francisco native of at least two generations, is described in several SF Chronicle articles as “the city’s leading gambler” and kingpin of the Tenderloin. He first gained national attention for his 1963 involvement in a public brawl, which included the actress Clara Bow. Bones operated the “swank” Cal-Neva lodge at Lake Tahoe, and used it to launder money for bank-robbers and gangsters. He also operated a card room (frequented by famous criminals such as Nick the Greek and Ty Thompson) at the Menlo Club (30 Turk St.), until it was shut down by a dramatic police investigation. Bones is described by the president of the police commission as ""an undesirable character [who] will be driven out of the city.""  He sold both businesses in 1950 while facing charges for racketeering and tax evasion, but maintained indirect control of each and kept stakes in El Cerrito and the Tenderloin (B-R Smoke Shop, 186 Club, Day-Night Cigar Store, One-Ten Eddy Club, Tiny's Waffle Shop and Transit Smoke Shop), for money laundering purposes.

 He, along with other underworld types bought shares of the nonoperating corporation Mountain City Consolidated Copper Co., prompting an interstate investigation. His court case erupted into quite a scene when the judge threatened to hold his attorney (former reporter and showman Leslie Gillen) in contempt for ""back-talk.""  The trial revealed his nation-wide gambling connections and nightclub investments and large money transfers prior to elections.  They also showed his habit of buying expensive ties for employees and friends, revealing an income much larger than officially reported.  Bones was sentenced to 5 years in prison and given a $20,000 fine in February 1952, but was granted a new trial by the US supreme court. After serving 2 1/2 years in prison, Bones secretly reacquired Bone's Corner from its nominal owner, Leonard Wood. He was reconvicted and forced to sell off his assets to pay the $863,000 he owed in fines and taxes.  Bones lived out the rest of his days selling used cars for his brother and died in 1963. Herb Caen once made a quip about the bar's misplaced apostrophe.
",186 Eddy ,P0013_07.jpg,Hoff,-122.4106169,37.7843359
Bunny's Waffle Shops,"Herb Caen made a ""Harvey"" joke in the SF Chronicle February 16th 1946. Bunny's was damaged after alleged arson at Herbert's Hotel, July 31st 1946.",1102 Market,P0016_04.jpg,,-122.4119616,37.7809451
Buccaneer,,80 Turk Street,P0019_02a.jpg,"Young dog, Old trick",-122.4104035,37.7833779
Burbank Club,The Burbank Club was robbed at gunpoint in 1952 and one of the owners (Edward Burkowitz) was locked in the basement. ,321 Leavenworth ,P0017_01.jpg,Your favorite mixed drinks,-122.4144648,37.7840018
California Billiard Parlor / San Francisco Billiard Parlor,"California Billiard Parlor was located at 1028 Market & 61 Golden Gate & the San Francisco Billiard Parlor was at 949 Market. The San Francisco Billiard Parlor was open 24 hours a day and one of the last large downtown pool halls in the country. The SF Chronicle ran an indepth feature on the people who had been going there for 30 years. Its hayday was back in the 60s, and for decades after that it slowly deteriorated. The building remained unoccupied until 2001, when it briefly became an artist squat. ",1028 Market,P0012_02.jpg,Ladies invited,-122.4112267,37.7818338
Caruso's,"At this location, Marino's (1947); Caruso's (1948-1953); Original Frank's Delmonico Rest. (1955); Club Casino/Casino Social Club (1963-1965); Vacant (1969-1970)",136 Taylor,,Italian food at its best,-122.4107321,37.7837642
"Chateau, The","In 1934 Chateau appears in SF Chroncile article about waiter strike. 55 Mason in 1941 was Tiny's, ""The home of 'Chicken in the Rough.'"" ",55 Taylor ,P001_07.jpg,House of good food: French and Italian dinners also a la carte: The Chateau recommends special chateau red or white wine,-122.4110216,37.7829093
CIO Canteen,"CIO stands for Congress of Industrial Organizations, which was an integrated (racially inclusive) union organization that split from the American Federation of Labor. These canteens were spaces for interracial socializing, which was taboo for many years in 1920s-1950s even in labor circles. The first chief of the San Francisco branch was nearly deported during the CIO's early showdown with the AFL. The HQ/canteen was a former Knights of Columbus building and the basement was converted to a bomb shelter in 1941. The location at 150 Golden Gate was a block from the California Labor School at 240 Golden Gate, the current headquarters of both SEIU and Local 87 and UNITE HERE Local 2.",150 Golden Gate ,,No motto on matchbook,-122.413234,37.7822291
Club Lafayette,, 238 Hyde,P002_04.jpg,Where friends meet; The friendly little bar; Drinks with a Kick,-122.4156415,37.7831178
Club Marino,"Apparently, Marino is nicknamed ""Bibleback"" because ""'he was always the devil -- just the reverse of the Bible.'"" He was shot in the leg back in 1928 in a bootlegging-related shootout; another bootlegger was killed in revenge. In 1940 three men, including Marino himself were arrested on unspecified charges. ",382 Ellis ,P005_02.jpg,Swell fit and form,-122.4125057,37.785088
Club Roberti,"Opened in 1938 by local restaurateur, Fred Roberti, this glitzy club featured big acts from LA, and even air conditioning. About a month after it opened a professional knife thrower threatened Dolly Fine, SF's most notorious madame, and Jake Ehrlich, her celebrity lawyer.  Present during this scene was comedian Jerry Lester, jazz musicians Ted Lewis and Jan Garber, and famed reporter Herb Caen. As Caen reported in the SF Chronicle 7/29/38, things looked pretty hairy until Dolly Fine's brother socked the knife thrower in the jaw and the entire bar came down on him with the wrath of God.",150 Mason ,,The Most Beautiful Night Club in the West,-122.4094482,37.784948
Club Taylor,"Club Taylor was temporarily shut down in 1972 for ""seriously unsanitary conditions.""  The owner, Lipkin, also owned a couple of other bars including the Eddy Club and Red Robin, and was indicted in 1974 for employing B-girls and paying off a police seargeant.  He disappeared for a while during the investigation apparently hiding out in Japan, where he owned another bar, until he was deported from the country. Club Taylor was just one of a number of bars that were being extorted by cops (along with Teak Wood Room, the Irisher, Chez Paree, Red Robin, and others).",217 Taylor ,,Happy days!,-122.4112272,37.7844585
Club Vanderbelt,,225 Mason,P004_03.jpg,Meet Bill and Harry at Club Vanderbilt,-122.4095777,37.7855271
Connie's (red cover),"Connie's was a waffle shop, restaurant, and cocktail lounge. In 1943, the restaurant faced a federal injuction for violating restaurant price ceilings and in 1946 they were charged with having food concessions under seperate ownership. The restaurant's license was suspended for 15 days in 1957 for serving gay patrons, an issue faced by numerous establishments in what was becoming San Francisco's first gay neighborhood. In 1958, they were robbed by an escaped convict, and in 1960 robbed again when the manager went out for a haircut and a robber snuck in and stole bags of money from the safe. Neither the bartender or 10 customers noticed anything.",225 Eddy ,P001_08.jpg,Cocktails mixed to your taste; Where good friends meet.,-122.4113727,37.7839813
Connie's (black cover),,225 Eddy ,P0012_05.jpg,No motto on matchbook,-122.4113727,37.7839813
Coon Hollow,,540 Geary St,P009_01.jpg,Modern stores to serve you in the modern way,-122.4122308,37.787075
Dawson Hotel,"While there is not a lot of information about the ""Dawson hotel"" proper, there are some interesting stories about the building. It was the Porter hotel in 1953, and Hilary after that. The building was mortgaged by real-estate mogul Sid Wolfe who pocketed the money, abandoned his family, and skipped to Mexico.",116 Turk ,P005_05.jpg,High class rooms,-122.4110658,37.7833796
Day and Nite,"In 1951 the business was sold by Max Sivlerman to William Kyne Jr, an associate of Bones the local kingpin.  A phone was removed from the store in 1949 because it was allegedly being used for criminal purposes In 1952, the store's manager ended up owing more money to Bones than he was making due to his addiction to 10-Ball. During the infamous Bones trial, Day and Nite became part of the investigation for tax evasion. It became Bone's Corner in 1952.",186 Eddy ,P008_08.jpg,Popular brands of cigars and cigarettes,-122.4106169,37.7843359
Dice Shaker's ,,217 Taylor,P0019_03.jpg,The Center of Fun,-122.4112272,37.7844585
Diller's Kosher Style Restaurant,,157 Mason,P0019_034.jpg,Delicious food our own pastry,-122.4096145,37.7850626
Downtown Bowl,"The legendary Downtown Bowl at Eddy and Jones (now Boedekker Park) was a forty-lane bowling alley that promoted ""Daylight Bowling at Night Time"" and cocktail lounge and fountain lunch. The Golobic family ran the Downtown Bowl for decades along with bolwoing alleys in Burlingame and San Mateo.",289 Eddy St,P008_03.jpg,Bowling and billiard luxury unsurpassed,-122.4122437,37.7837774
Eddie Roberts Cocktail Lounge,,243 Mason,P0020_05.jpg,Friendship prevails,-122.4096073,37.7856943
Eddy Garage,,545 Eddy,,Prompt courteous and efficient,-122.4165943,37.7833475
Edinburgh Castle,"For 38 years a parrot named Winston lived in the bar; he was allowed to fly around free until a city ordinance forbade animals in bars.  A special exemption was made for Winston by city supervisor Diane Feinstein, but he was required to stay in a cage. Edinburgh Castle is considered a “home away from home” for English, Irish, Welsh, and Scottish expats, and is also a hub for authors, including Irvine Welsh, author of Trainspotting. In 2004, the bartender published an anthology of writings about the bar called Public House. 
",950 Geary ,P0021_01.jpg,Scotland in San Francisco,-122.4189859,37.7861924
El Rosa Hotel,"The El Rosa Hotel holds an important place in transgender history as home to some of the transgender women who led the historic August 1966 Compton's Cafeteria Riot just down the block. The El Rosa was also the rumored meeting place of Billy Garrison and Adrian Ravarour founders of seminal LGBT advocacy group, Vanguard. The hotel was featured in the 2005 documentary ""Screaming Queens: The Riot at Compton's Cafeteria."" This the residential hotel was constructed in 1906. The El Rosa Hotel was closed in 1969 for being a “center of vice,”In the early 1970s the hotel reopened and was renamed the Helen Hotel; however, the painted ""El Rosa Hotel"" sign remains on the west elevation.",166 Turk ,P006_04.jpg,Transient Rooms,-122.4118637,37.783379
El Rosa Hotel,"
",166 Turk ,,Merry xmas and a happy new year,-122.4118637,37.783379
Fan Club,"This space at 220 Turk was home to many establishments: The Dixie Club (1936-1938), closed after a police raid; The Tex Club (1939-1942); The Victory Club (1942); Drumbar (1947-1954), a gambling den busted by the feds; Old Joe's Place (1966), a Navy hangout spot with the motto “Where All Seamen Meet"";  The Coral Sea Bar (c. 1981), where police got involved in a shootout with a repeat offender named Raymond Lee Wilson; initially it was reported that he was killed by a headshot from the officers. but they later amended their statement to suicide.  ",220 Turk ,P001_06.jpg,Have fun at the Fan Club,-122.4128292,37.783063
Fay's Cocktail Bar,Fay's Cocktail bar put out multiple matchbooks event though it was only open in the 1940. The Brown Jug opened at the same spot in 1953 and stayed open until 2017.,496 Eddy ,P0010_08.jpg,"Belle ringer: Come get acquainted: A cozy, intimate spot",-122.4158483,37.7837085
Fay's Cocktail Bar,,496 Eddy  ,P0023_03.jpg,"Misplaced confidence: A cozy, intimate spot: Come in, get acquainted",-122.4158483,37.7837085
Fay's Cocktail Bar,,496 Eddy  ,,"Good pickin's: Come in,get acquainted: A cozy, intimate spot",-122.4158483,37.7837085
Fay's Cocktail Bar,,496 Eddy  ,,"A cozy, intimate spot",-122.4158483,37.7837085
Federal Lounge & Coffee Shop,"A 1970 SF Chronicle article mentions this bar along with several in the Tenderloin participated in a ""barfly's revolt"" against a sudden rise in alcohol prices.",96 McAllister ,,,-122.4135494,37.7811232
"Fern Hotel, The",,257 Leavenworth ,P008_02.jpg,To save time make a habit of stopping here,-122.414495,37.7834977
Film Barber Shop,"A small barber shop opened at 153 Hyde c. 1920s. T.A. Hill sold the shop in 1943 to Fred Schell who renamed it Film Barber Shop. Schell lived in the bachelor quarters attached to the shop. He got married in 1946 and by April 1949 the 2- chair shop was for sale: “3-yr. lease; established 20 yrs; living qtrs. for bachelor.” In July 1949, the shop opened as Hollywood Studio Barber Shop: “Hair stylist—formerly of Andy’s Hollywood Haircuts. Film row.”  An advertisement in fall 1950: “Filipino barber wanted.”",153 Hyde ,P009_06.jpg,"Anxious to serve; We cut the hair to please YOU, not ourselves",-122.4157778,37.7823474
Film Cavern,,101 Golden Gate Ave,P006_09.jpg,We have the most popular brands; Good food. Better beverages (1939),-122.412543,37.781787
Four-O-Club,,245 Mason ,P0010_01.jpg,You are always welcome at Four-O-Club,-122.4096106,37.7857129
Gaylord Hotel,,620 Jones,P0013_03.jpg,Centrally located near theaters & smart shops,-122.4131179,37.7871583
Gene Compton's,"Gene Compton's Cafeteria was a chain Cafe with locations all over San Francisco, including at 101 Taylor Street. At this location, In the summer of 1966, a trans woman threw her cup of hot coffee in the face of an police officer as he made an unwarranted attempted to arrest her. The riot that followed would come to be known as the United States’ first recorded act of militant queer resistance to social oppression and police harassment. Three years before the famous gay riot at New York’s Stonewall Inn, the neighborhood’s queens and allies banded together to fight back against their ongoing discrimination, beating the cops with their high heels and throwing furniture through the cafeteria windows. These historic riots helped launch the US gay liberation movement. ",101 Taylor,P0020_06.jpg,The food you like,-122.411078,37.783428
George Dobbs Drive-In,"A quote from a 1953 SF Chronicle article states: “George Dobbs, who will soon open the world’s largest drive-in, a $425,000 beauty spot at Eddy and Larkin, has conceived a fiendishly pleasant way to the befuddle his customers by hiring Betty, Patsy, and Barbara London as carhops, and you won’t know which one you’ve got. They’re triplets.” ",600 Eddy,P0019_03.jpg,The downtown drive in,-122.417474,37.7834361
Golden Bubble,,110 Powell,P0022_02.jpg,Made in the West for the West,-122.4077109,37.7857741
Golden State Hotel,The hotel was built in 1908 and became the Golden State Hotel in 1928 and finally the Union Square Hotel in 1983. ,114 Powell,,Worthy of the name...,-122.4077777,37.7858449
Governor Grill (silver cover); Also: Teakwood Room & Rose Room / Governor Hotel,,210 Jones ,P0010_03.jpg,Governor Grill: Where Steaks and Chops Rule Supreme,-122.4123454,37.7832645
Governor Grill (black cover),,210-214 Jones ,P0010_04.jpg,Where steaks and chops rule supreme...Followed with the best cup of coffee in town.,-122.4123454,37.7832645
"Governor Hotel, The",,180 Turk ,,,-122.4122045,37.7831493
Grand Hotel,,57 Taylor ,P0016_02.jpg,Comfortable beds quiet atmosphere,-122.4109508,37.7829257
"Harvey M. Joy Associated Hotels: Hotel Manx, Hotel Clunie, Hotel Gartland",,939 Geary St. ,P0024_04.jpg,,-122.4188645,37.7859167
Harrington's (blue & gold cover),"Owned by Harry Patrick Harrington, one of three sons of an Irish immigrant barkeeper who set up each of his three sons with a bar. Mr. Harrington became so well-known as a big-hearted barkeeper that a letter addresssed simply 'Harry Harrington, U.S.A.' made its way to him from fans in Australia. The inside cover of the match book reads: ""2 shots, 3 yr. old bourbon whiskey, 15 cents. 10 yr. old imported scotch whiskey, 15 cents. Try our special breakfast and lunch. We feature our french dipped sanwiches, 15 cents, with cole slaw. Served always."" ",9 Jones,P001_09.jpg,Around the town,-122.4122374,37.7814846
Harrington's (blue & gold cover),"Owned by Harry Patrick Harrington, one of three sons of an Irish immigrant barkeeper who set up each of his three sons with a bar. Mr. Harrington became so well-known as a big-hearted barkeeper that a letter addresssed simply 'Harry Harrington, U.S.A.' made its way to him from fans in Australia. The inside cover of the match book reads: ""2 shots, 3 yr. old bourbon whiskey, 15 cents. 10 yr. old imported scotch whiskey, 15 cents. Try our special breakfast and lunch. We feature our french dipped sanwiches, 15 cents, with cole slaw. Served always."" ",24 Ellis,P001_09.jpg,Around the town,-122.4068061,37.7859363
Harrington's (blue & gold cover),"Owned by Harry Patrick Harrington, one of three sons of an Irish immigrant barkeeper who set up each of his three sons with a bar. Mr. Harrington became so well-known as a big-hearted barkeeper that a letter addresssed simply 'Harry Harrington, U.S.A.' made its way to him from fans in Australia. The inside cover of the match book reads: ""2 shots, 3 yr. old bourbon whiskey, 15 cents. 10 yr. old imported scotch whiskey, 15 cents. Try our special breakfast and lunch. We feature our french dipped sanwiches, 15 cents, with cole slaw. Served always."" ",245 Front,P001_09.jpg,Around the town,-122.3991919,37.794057
Herrington's (green & yellow cover),,9 Jones ,P0011_01.jpg,Céad míle fáilte (a hundred thousand welcomes),-122.4122374,37.7814846
"Why Not, The",The Why Not is San Francisco's first leather bar.,518 Ellis ,,Boot party Thursdays,-122.414952,37.7847772
Hotel Californian (red cover),"Built in 1924 by builder and managing owner Matthew Alexander Little Sr. In 1929, 4 stories comprising 100 additional rooms was added for a total of 325 rooms. Little had emigrated from County Monaghan Ireland in 1901. He erected one of the first buildings constructed after the 1906 earthquake at Stockton and Ellis Streets. Little was a builder for 55 years and erected many apartment buildings and houses. In 1935, the property was purchased by Elizabeth Glide for use as a temperance hotel, the only temperance hotel in San Francisco.",405 Taylor,P007_05.jpg,"Resonable rates, fine food, garage ajoining; All rooms outside & with bath and radio",-122.411544,37.7861862
Hotel Californian (yellow cover),,405 Taylor,P0025_02.jpg,All rooms outside & with bath and radio,-122.411544,37.7861862
Hotel Clark (red cover),,Eddy at Taylor,P0013_05.jpg,"Every modern convenience; ""Radio in Every Room""; ""Centrally located""",-122.4109775,37.7841597
Hotel Clark (black & gold cover),,217 Eddy,P004_01.jpg,Radio in every room. Centrally located.,-122.4113046,37.7839854
Hotel Clark (black & gold cover),,217 Eddy,P0013_02.jpg,,-122.4113046,37.7839854
Hotel Columbia,"Described in a May 1915 issue of SF Chronicle: ""High class in every detail: all modern conveniences: large airy rooms: large parlors and dance hall: music and dancing every evening: rates $1 per day up: $4 to $12.50 per week."" ",411 O'Farrell,P002_08.jpg,Popular prices; Kitty corner from N.B.C.,-122.4116001,37.7858337
Dahlia Hotel,"Manager Marie Pappens was reputedly a brothel keeper. Marie Pappens were convicted of conducting a ""disorderly house""at the Palm Hotel, 808 Kearny, which was the ""First conviction since the Federal government began a crusade against disorderly houses in San Francisco to protect the health of troops quartered in and around the city."" -SF Chronicle October 18th 1917.",74 Turk,P0017_05.jpg,Meet the gang,-122.4103389,37.7833917
Hotel Don,,345 Taylor ,P004_04.jpg,"Another Handerly Hotel; Modern Coffee Shop, Cocktail Lounge",-122.4114919,37.7856074
Hotel Don,,345 Taylor ,P006_03.jpg,"Convenient, reasonable; “Opposite Air Line Bus Terminal”
“Accommodations for Permanent Guests & Tourists, Convenient, Reasonable.”
",-122.4114919,37.7856074
Hotel Empire,,100 McAllister Street,P009_03.jpg,Awe inspiring,-122.4139685,37.7810869
Hotel La Salle (blue & gold cover - 2 of these matchbooks),"The hotel was 6 stories with 150 furnished rooms, each with bath. In the single rooms the furniture included easy chairs, bureau or chest of drawers, which lent the appearance of a modern apartment rather than a hotel room.",225 Hyde Street,P0019_01.jpg,,-122.416118,37.782912
Hotel La Salle (black & gold cover) / Explorer Room,,225 Hyde Street,P0020_07.jpg,,-122.416118,37.782912
Hotel Oxford (cream cover),,25 Mason St,P001_05.jpg,"Drive-in free parking!: Hotel comfort, motel convenience: Nearest to things worthwhile",-122.4094065,37.783536
Hotel Oxford (Brown and green cover),,25 Mason St,P006_08.jpg,,-122.4094065,37.783536
Hotel Oxford (brown cover) / Oxford Picadilly Circus,"Built in 1911, the original owners of the Oxford Hotel were the Hasse family. The Hotel had an Italian Restaurant named Bracco's onsite which advertised North Beach Style in the Heart of Downtown San Francisco. Sold in 1985 to HGA, which was owned by the Lembi family (who owned other Tenderloin hotels). In 1990 a $3.5 million rehabilitation was undertaken and the hotel was to be renamed Hotel Metropolis. Addresses include 25 Mason and 16 Turk. 
",25 Mason St,P0017_02.jpg,"Fine foods, smooth cocktails",-122.4094065,37.783536
Hotel Oxford (blue cover - at least 2 more of same book),,25 Mason St,P0015_03.jpg,,-122.4094065,37.783536
Hotel Powell,,17 Powell ,P0020_03.jpg,Large connecting rooms for the entire family,-122.4080643,37.7850377
Hotel President,"""Hotel Presiden a 10-story Class A Building. Choice rooms, all with baths, showers. Special permanent and transient rates."" SF Chronicle 16 March 16th 1941",935 Geary Street,P0024_03.jpg,150 rooms with bath and showers,-122.4187199,37.7858053
Hotel Ritz,,216 Eddy Street,P002_05.jpg,In the center of the shopping and theatre districts.,-122.4112871,37.7843165
Hotel Ritz,,216 Eddy Street,P004_05.jpg,,-122.4112871,37.7843165
Hotel Roosevelt (dark red & white cover),"Built by Alexander Vayssie, immigrant and eventual hotel tycoon, for his son Rene to manage. Designed in French Renaissance style, it cost half a million to build in 1927. Described as highly modern, with a playground on roof, special guests stayed here including Muhammed Ali (1973), and Charles Lindbergh (1927).",298 Eddy St,,,-122.4126061,37.7839413
Hotel Roosevelt (off white cover) / Palace Food & Liquor Store,,298 Eddy St,P007_02.jpg,BE SMART!! in your choice,-122.4126061,37.7839413
Hotel Senator (blue-green cover),"""New Hotel Senator. We cordially expect you to inspect our beautifully furnished, all outside, sunny rooms with bath, offering attractive rates. $12.50 to $15.00 weekly to permanent. Transient $2.50 and up, single or double. Strictly first-class hotel service. Special dinner served for 50c."" -SF Chronicle May 17th 1925.",519 Ellis St ,P0016_03.jpg,,-122.4149153,37.7843921
Hotel Senator (gold cover),,519 Ellis St ,P007_01.jpg,,-122.4149153,37.7843921
Hotel Senator (green cover),,519 Ellis St,P007_07.jpg,,-122.4149153,37.7843921
Hotel Sentinel,,587 Eddy,P003_03.jpg,At moderate rates,-122.4172732,37.7832073
Hotel Sentinel (brown),,519 Ellis St,P0020_02.jpg,,-122.4149153,37.7843921
Hotel Shaw,"""Hotel Shaw Provides S.F. With Another Completely Modern Hostelry."" -SF Chronicle July 23rd 1927. A seven-story structure with 150 rooms, the Hotel Shaw was but for $350,000 and formally opened on July 1st 1927. In 1963 Hotel Shaw underwent renovation to became the Motor Lodge. ",1112 Market Street,,,-122.4122197,37.7807345
Hotel Virginia,,312 Mason Street,,"Comfortable beds, quiet atmosphere, moderate rates.",-122.4095655,37.7865004
Hunter Club,,829 Geary St. ,,,-122.417009,37.78616
Islam Temple,"Shriners, a men’s social and charitable organization of the Freemasons, used the space until 1970 when became Alcazar Theatre.",650 Geary ,P0012_04.jpg,,-122.4142125,37.7867684
Jefferson Hotel,,440 Eddy ,P0013_04.jpg,Daily and weekly rates,-122.4150038,37.7839182
Jerry Mahoney's Club,,620 O'Farrell ,P008_05.jpg,,-122.4151587,37.785713
Joe Marcellino's,Joe Marcellino was a well-known S.F. bandleader and musician. Joe and his society orchestra at forbidden city is mentioned in a SF Chronicle article on Sept. 17th 1954.,600 Geary,P0021_02.jpg,"Cocktails, entertainment",-122.4134807,37.7869592
Jonell's,"Opened in 1945 and still operating today, Jonell's is the true legacy Tenderloin bar. William Vollmann set his 1991 novel, Whores for Gloria, at Jonell's. ",401 Ellis St.  ,,Bottoms up: Where characters meet,-122.4128835,37.7847671
Jones Cafe,,511 Jones ,P0010_05.jpg,American and Chinese dishes,-122.413293,37.786029
Kit Kat Club,,54 Mason St. ,P0022_04.jpg,San Francisco's Bohemian Rendezvous / Dine and dance at the Kit Kat Club,-122.4090676,37.7841271
Levy Tailoring Co.,"Run by Henry Levy, the president Levy Tailoring Co. He was a businessman for 30 years and retired four months before his death on March 23rd 1918.",20 Jones ,P0019_034a,Made to your order,-122.411886,37.7814738
Little Brown Jug,"Opened in 1941, this Tenderloin dive stayed open until 2016. Alcohol Beverage Control (ABC) closed the Brown Jug aft an undercover agent was able to sell alcohol described as stolen to multiple staff members, and one staff member facilitated the sale of cocaine the same undercover agent. ",496 Eddy ,,San Francisco's original,-122.4158483,37.7837085
Loyal Order of Moose,"859 O'Farrel St. was host to a series of happening clubs since it was built in 1907.  After the takeover by the Moose Club, the building went into decline and was condemned by the city.  It barely escaped demolition and is today The Great American Music Hall.",859  O'Farrell St. ,,"Loyal Order of the Moose: ""The Greatest Ever""; These are 17 reasons why you should join now--don't delay!",-122.418809,37.7848325
Ludwig's Dance Studio,,532 Geary ,P008_01.jpg,"""Our reputation, your guarantee.""",-122.4121746,37.7870817
Marie's Kum Bak Klub,,486 Ellis ,P008_05a.jpg,"We nitely take and show movies of our customers, with your permission",-122.4142209,37.7847889
Mark Twain Hotel / Gold Cocktail Lounge,"Originally built as the Linden Hotel in 1928, it was renamed the Hotel Mark Twain during the Great Depression. The name changed again with another owner but soon returned back to the Hotel Mark Twain. It is here that Billie Holiday was arrested for possession of opium on January 22, 1949.",345 Taylor,P004_08.jpg,,-122.4114919,37.7856074
Mason Hotel,,111 Mason St.,,,-122.4096056,37.7844612
Bone's Corner,,24 Turk ,,Visitors Welcome,-122.4095931,37.7835142
Miller's Tavern,,321 Leavenworth ,P002_07.jpg,Fine imported & domestic wines and liquors.,-122.4144648,37.7840018
Mocambo Club,"Very intimate club where jazz luminaries like Eartha Kitt, Woody Herman, Cal Tjader and Kenton performed.",103 Powell St,P0026_02.jpg,San Francisco's most intimate cocktail lounge,-122.4076036,37.7857469
Music Box,"Build in 1907 this site has a long history of housing happening clubs, and is one of the most historically important continuously operating entertainment venues in San Francisco. In the early 1900s it was managed by Blanco and named Blanco's Cafe (Blanco was one of the original owners of the legendary San Francisco restaurant ‘The Poodle Dog.’) Sally Rand, famous for her fan & bubble dance, bought the club in 1937 and named it The Music Box. Closed at the end of WWII, the space reopened in 1948 as a jazz club, reusing the name Blanco’s. In the 1950s the space was used by a service organisation called the Loyal Order of the Moose. In 1972 the venue was purchased by Tom Bradshaw and renamed the Great American Music Hall, a thriving live music venue that’s still open today (the interior of which remains much as it did when Rand performed her famed fan dances there). ",859 O'Farrell ,P0012_03.jpg,The most beautiful nite club in America,-122.418809,37.7848325
New Dalt Hotel (yellow/black/red/blue cover),,34 Turk Street,P0027_03.jpg,Once tried always satisfied,-122.409886,37.783613
New Dalt Hotel (pink cover),,34 Turk Street,P0019_04.jpg,Once tried always satisfied,-122.409886,37.783613
New Golden Gate Hotel,,140 Turk St.  ,P0023_05.jpg,Bring a friend,-122.4115746,37.7834211
New Golden Gate Hotel,,140 Turk St. ,,If it's new it's here.  If it's here it's new,-122.4115746,37.7834211
New Golden Gate Hotel,,140 Turk St.,,Meet the gang,-122.4115746,37.7834211
